,ContaminantGroup,ContaminantGroupSimple,Contaminant,Tshd_Area_TICA_perc25,Tshd_Area_TICA_perc50,Tshd_Area_TICA_perc75,Tshd_Area_TICA_perc90
1,Behentrimonium chloride,Others,BTAC-228-Cl,5.00E-05,0.00013,0.00033,0.0013
2,Bis(2-ethylhexyl) adipate,Others,DEHA,7.10E-05,0.00025,0.00067,0.0016
3,CHAPS,Others,CHAPS,0.062,0.32,0.88,2.3
4,DECYL-PEG,DECYL-PEG,C18H38O5 Na,6.40E-05,0.00017,0.00047,0.0011
5,DECYL-PEG,DECYL-PEG,C18H38O5 NH4,8.10E-05,0.00028,0.00098,0.002
6,DECYL-PEG,DECYL-PEG,C20H42O6,4.00E-04,0.0014,0.0046,0.012
7,DECYL-PEG,DECYL-PEG,C20H42O6 Na,0.00059,0.0033,0.0073,0.015
8,DECYL-PEG,DECYL-PEG,C20H42O6 NH4,0.00028,0.0011,0.0039,0.0087
9,DECYL-PEG,DECYL-PEG,C22H46O7,0.00079,0.0023,0.008,0.026
10,DECYL-PEG,DECYL-PEG,C22H46O7 Na,0.00033,0.00082,0.0024,0.0056
11,DECYL-PEG,DECYL-PEG,C22H46O7 NH4,0.0015,0.005,0.021,0.049
12,DECYL-PEG,DECYL-PEG,C24H50O8,6.70E-05,0.00023,0.002,0.018
13,DECYL-PEG,DECYL-PEG,C24H50O8 Na,3.10E-05,8.80E-05,0.00031,0.00079
14,DECYL-PEG,DECYL-PEG,C24H50O8 NH4,0.00027,0.0013,0.0048,0.041
15,DECYL-PEG,DECYL-PEG,C26H54O9,5.50E-05,0.00021,0.0012,0.0091
16,DECYL-PEG,DECYL-PEG,C26H54O9 Na,0.00011,0.00026,0.00055,0.0058
17,DECYL-PEG,DECYL-PEG,C26H54O9 NH4,0.00024,0.0011,0.0043,0.035
18,DECYL-PEG,DECYL-PEG,C28H58O10,3.80E-05,0.00015,0.00073,0.005
19,DECYL-PEG,DECYL-PEG,C28H58O10 Na,7.40E-05,0.00016,0.00047,0.0011
20,DECYL-PEG,DECYL-PEG,C28H58O10 NH4,2.00E-04,0.00087,0.0033,0.023
21,DECYL-PEG,DECYL-PEG,C30H62O11,0.00064,0.0015,0.0031,0.0093
22,DECYL-PEG,DECYL-PEG,C30H62O11 Na,2.00E-04,0.00045,0.0013,0.003
23,DECYL-PEG,DECYL-PEG,C30H62O11 NH4,0.0015,0.0059,0.017,0.043
24,DECYL-PEG,DECYL-PEG,C32H66O12,8.70E-05,0.00025,0.00074,0.002
25,DECYL-PEG,DECYL-PEG,C32H66O12 Na,0.00013,5.00E-04,0.0014,0.0038
26,DECYL-PEG,DECYL-PEG,C32H66O12 NH4,0.00026,0.00062,0.0022,0.0072
27,DECYL-PEG,DECYL-PEG,C34H70O13,6.80E-05,3.00E-04,0.00093,0.0022
28,DECYL-PEG,DECYL-PEG,C34H70O13 Na,0.00011,0.00056,0.0018,0.0063
29,DECYL-PEG,DECYL-PEG,C34H70O13 NH4,0.00016,0.00051,0.002,0.0043
30,DECYL-PEG,DECYL-PEG,C36H74O14,7.20E-05,0.00023,0.00085,0.0019
31,DECYL-PEG,DECYL-PEG,C36H74O14 Na,6.30E-05,0.00018,0.00071,0.0022
32,DECYL-PEG,DECYL-PEG,C36H74O14 NH4,0.00011,0.00035,0.0011,0.0026
33,DECYL-PEG,DECYL-PEG,C38H78O15,7.60E-05,0.00034,0.00094,0.0021
34,DECYL-PEG,DECYL-PEG,C38H78O15 Na,6.20E-05,0.00018,0.00045,9.00E-04
35,DECYL-PEG,DECYL-PEG,C38H78O15 NH4,5.90E-05,0.00025,0.00072,0.0016
36,DECYL-PEG,DECYL-PEG,C40H82O16,7.30E-05,0.00023,6.00E-04,0.0014
37,DECYL-PEG,DECYL-PEG,C40H82O16 Na,0.00011,0.00037,0.00079,0.0014
38,DECYL-PEG,DECYL-PEG,C40H82O16 NH4,3.90E-05,0.00014,0.00047,0.0015
39,DECYL-PEG,DECYL-PEG,C42H86O17,7.10E-05,0.00026,0.00094,0.0019
40,DECYL-PEG,DECYL-PEG,C42H86O17 Na,2.70E-05,7.60E-05,0.00025,0.0011
41,DECYL-PEG,DECYL-PEG,C42H86O17 NH4,5.80E-05,0.00014,0.00028,0.00061
42,DECYL-PEG,DECYL-PEG,C44H90O18,2.80E-05,0.00024,0.00089,0.0016
43,DECYL-PEG,DECYL-PEG,C44H90O18 Na,4.50E-05,0.00013,0.00043,0.00082
44,DECYL-PEG,DECYL-PEG,C44H90O18 NH4,9.20E-05,2.00E-04,0.00069,0.002
45,DECYL-PEG,DECYL-PEG,C46H94O19,1.60E-05,5.70E-05,0.00016,0.00038
46,DECYL-PEG,DECYL-PEG,C46H94O19 Na,4.20E-05,2.00E-04,0.00077,0.0025
47,DECYL-PEG,DECYL-PEG,C46H94O19 NH4,7.00E-05,0.00015,0.00042,0.0013
