ReplicateNameSkyline,Condition,Sample,DilutionFactor,TR,IR
V220107_29,Vivacon,V_1_1,1,1,1
V220107_30,Vivacon,V_2_1,1,2,1
V220107_31,Vivacon,V_3_1,1,3,1
V220107_32,Vivacon,V_4_1,1,4,1
V220107_33,Vivacon,V_5_1,1,5,1
V220107_35,Microcon,M_1_1,1,1,1
V220107_36,Microcon,M_2_1,1,2,1
V220107_37,Microcon,M_3_1,1,3,1
V220107_38,Microcon,M_4_1,1,4,1
V220107_39,Microcon,M_5_1,1,5,1
V220107_41,Nanosep,N_1_1,1,1,1
V220107_42,Nanosep,N_2_1,1,2,1
V220107_43,Nanosep,N_3_1,1,3,1
V220107_44,Nanosep,N_4_1,1,4,1
V220107_45,Nanosep,N_5_1,1,5,1
V220107_47,Vivacon,V_1_2,1,1,2
V220107_48,Vivacon,V_2_2,1,2,2
V220107_49,Vivacon,V_3_2,1,3,2
V220107_50,Vivacon,V_4_2,1,4,2
V220107_51,Vivacon,V_5_2,1,5,2
V220107_53,Microcon,M_1_2,1,1,2
V220107_54,Microcon,M_2_2,1,2,2
V220107_55,Microcon,M_3_2,1,3,2
V220107_56,Microcon,M_4_2,1,4,2
V220107_57,Microcon,M_5_2,1,5,2
V220107_59,Nanosep,N_1_2,1,1,2
V220107_60,Nanosep,N_2_2,1,2,2
V220107_61,Nanosep,N_3_2,1,3,2
V220107_62,Nanosep,N_4_2,1,4,2
V220107_63,Nanosep,N_5_2,1,5,2
V220118_09,Vivacon,V_1_3,1,1,3
V220118_10,Vivacon,V_2_3,1,2,3
V220118_11,Vivacon,V_3_3,1,3,3
V220118_12,Vivacon,V_4_3,1,4,3
V220118_13,Vivacon,V_5_3,1,5,3
V220118_17,Microcon,M_1_3,1,1,3
V220118_18,Microcon,M_2_3,1,2,3
V220118_19,Microcon,M_3_3,1,3,3
V220118_20,Microcon,M_4_3,1,4,3
V220118_21,Microcon,M_5_3,1,5,3
V220118_25,Nanosep,N_1_3,1,1,3
V220118_26,Nanosep,N_2_3,1,2,3
V220118_27,Nanosep,N_3_3,1,3,3
V220118_28,Nanosep,N_4_3,1,4,3
V220118_29,Nanosep,N_5_3,1,5,3
