"ReplicateNameSkyline","Sample","Condition","DilutionFactor"
"V220107_29","V220107_29","All_samples",1
"V220107_30","V220107_30","All_samples",1
"V220107_31","V220107_31","All_samples",1
"V220107_32","V220107_32","All_samples",1
"V220107_33","V220107_33","All_samples",1
"V220107_35","V220107_35","All_samples",1
"V220107_36","V220107_36","All_samples",1
"V220107_37","V220107_37","All_samples",1
"V220107_38","V220107_38","All_samples",1
"V220107_39","V220107_39","All_samples",1
"V220107_41","V220107_41","All_samples",1
"V220107_42","V220107_42","All_samples",1
"V220107_43","V220107_43","All_samples",1
"V220107_44","V220107_44","All_samples",1
"V220107_45","V220107_45","All_samples",1
"V220107_47","V220107_47","All_samples",1
"V220107_48","V220107_48","All_samples",1
"V220107_49","V220107_49","All_samples",1
"V220107_50","V220107_50","All_samples",1
"V220107_51","V220107_51","All_samples",1
"V220107_53","V220107_53","All_samples",1
"V220107_54","V220107_54","All_samples",1
"V220107_55","V220107_55","All_samples",1
"V220107_56","V220107_56","All_samples",1
"V220107_57","V220107_57","All_samples",1
"V220107_59","V220107_59","All_samples",1
"V220107_60","V220107_60","All_samples",1
"V220107_61","V220107_61","All_samples",1
"V220107_62","V220107_62","All_samples",1
"V220107_63","V220107_63","All_samples",1
"V220118_09","V220118_09","All_samples",1
"V220118_10","V220118_10","All_samples",1
"V220118_11","V220118_11","All_samples",1
"V220118_12","V220118_12","All_samples",1
"V220118_13","V220118_13","All_samples",1
"V220118_17","V220118_17","All_samples",1
"V220118_18","V220118_18","All_samples",1
"V220118_19","V220118_19","All_samples",1
"V220118_20","V220118_20","All_samples",1
"V220118_21","V220118_21","All_samples",1
"V220118_25","V220118_25","All_samples",1
"V220118_26","V220118_26","All_samples",1
"V220118_27","V220118_27","All_samples",1
"V220118_28","V220118_28","All_samples",1
"V220118_29","V220118_29","All_samples",1
